mode,class_idx,class_id,class_label,text
attributes,42,350,Little Blue Heron (Adult),"small slight dark slaty-blue body, slender neck, long greenish legs, rounded wings, rounded greenish bill, dark white patchwork blue plumage, rich purple-maroon head, yellow eye"
attributes,43,351,Reddish Egret (Dark morph),"large rich grayish blue body, long grayish blue neck, long two-toned bill, pinkish-cinnamon head, pink black tip, ashy copper color plumage"
attributes,44,352,Black-crowned Night-Heron (Adult),"night small rounded body, thick neck, large flat head, pointed all-black yellow black bill, black back, black crown, brown large white spots, large white underparts"
attributes,45,353,Yellow-crowned Night-Heron (Adult),"stocky body, short thick neck, short legs, short bill, cloudy gray plumage, bold face, black creamy yellow head, large white cheek, black patches, creamy yellow crown, brown fine white spots, fine white wings, fine white underparts"
attributes,46,354,White Ibis (Adult),"white large wading splotchy brown plumage, football-shaped body, long reddish pink legs, long streaky brown neck, curved reddish pink bill, black-tipped wings, blue eye, brown white upperparts, white underparts"
attributes,47,355,"Bald Eagle (Adult, subadult)","heavy dark brown body, large white dark head, long hooked bill, white dark tail, dark brown wings, white varying amounts plumage"
attributes,48,356,Northern Harrier (Adult male),"slender body, medium-sized raptors, broad whitish wings, long rounded black-banded tail, flat owl-like face, small sharply hooked bill, v-shape gray upperparts, whitish underparts, black wingtips, brown black bands, whitish undersides, brown streaks, buffy plumage, white rump"
attributes,49,357,Sharp-shinned Hawk (Adult ),"small long tail, short rounded wings, small head, slaty blue-gray upperparts, red-orange bars, slaty blue-gray breast, brown plumage, white underparts, broad dark bands"
attributes,50,358,Cooper's Hawk (Adult),"medium-sized body, broad rounded wings, long blue-gray tail, blue-gray brown upperparts, warm reddish bars, blue-gray underparts, thick dark bands, brown breast"
attributes,51,359,Red-shouldered Hawk (Adult ),"medium-sized body, broad rounded dark white checkered wings, medium-length tail, white checkered breast, narrow white bands, brown upperparts, white underparts, brown plumage, pale crescents wingtips"
attributes,52,360,Broad-winged Hawk (Adult),"small compact raptors, chunky body, large reddish-brown head, barred underparts, broad black-and-white bands, barred tail, lighter brown plumage"
attributes,53,361,Rough-legged Hawk (Dark morph),"large body, broad pale wings, dark-brown tail, pale underwing feathers, dark pale patches, pale head, dark belly"
attributes,54,362,Golden Eagle (Adult),"white patches, white wings"
attributes,55,363,American Kestrel (Adult male),"slender body, narrow slate-blue wings, long square-tipped tail, pale plumage"
attributes,56,364,Peregrine Falcon (Adult),"long pointed wings, long tail, blue-gray upperparts, barred underparts, dark head"
attributes,57,365,Purple Gallinule (Adult),"short tail, compact body, long bright yellow brown legs, greenish wings, greenish back, yellow-tipped red brown bill, bright yellow feet, brown upperparts, brown underparts"
attributes,58,366,Common Gallinule (Adult),"medium-sized marsh-bird body, long legs, small head, thin neck, small thin red bill, charcoal gray plumage, white stripes, white tail feathers"
attributes,59,367,Black-bellied Plover (Breeding),"chunky body, large head, short thick dark bill, long pointed wings, moderately long dark legs, black-and-white checkered upperwings, black face, black belly, white crown, white nape, white undertail, pale gray upperparts, grayish whitish underparts, scaly-looking back, black armpits"
attributes,60,368,Spotted Sandpiper (Breeding),"medium-sized body, rounded bright white breast, spotted bold dark spots, orange bill, plain white plumage"
attributes,61,369,Sanderling (Breeding),"small plump body, spangled black plumage, white rich rufous head, rich rufous neck, rich rufous back"
attributes,62,370,Dunlin (Breeding),"chunky body, small medium-length legs, short neck, long bill, bright rusty back, bright rusty crown, black dark belly, bright rusty white patches, white pale underparts, dark stippling, grayish-brown upperparts, grayish-brown head, grayish-brown breast"
attributes,63,371,Wilson's Phalarope (Breeding),"small long legs, slender neck, thin straight long bill, sharply pointed wings, pale gray upperparts, white underparts"
attributes,64,372,Broad-billed Hummingbird (Adult Male),"small body, long straight red bill, long straight fuller tail, rich green plumage, blue throat, golden-green upperparts, gray underparts, white line, gray eye"
attributes,65,373,Ruby-throated Hummingbird (Adult Male),"small slender body, downcurved bill, short wings, golden-green back, gray-white underparts, iridescent red throat"
attributes,66,374,Black-chinned Hummingbird (Adult Male),"small slender body, straight bill, green upperparts, dull grayish whitish underparts, black pale throat, thin iridescent purple dull metallic green plumage"
attributes,67,375,Anna's Hummingbird (Adult Male),"tiny among medium-sized stocky body, broad tail, green plumage"
attributes,68,376,Costa's Hummingbird (Adult Male),"small compact body, short tail, short wings, iridescent purple crown, green back, green vest, greenish upperparts, white eyebrow, greenish stripes, whitish underparts"
attributes,69,377,Calliope Hummingbird (Adult Male),"small even short body, short tail, short wings, greenish upperparts, greenish underparts"
attributes,70,378,Broad-tailed Hummingbird (Adult Male),"broad tail, medium-sized slender body, big head, long straight bill, iridescent green upperparts, greenish buffy flank, white chest, white line, white belly, rose-magenta throat, green spots, green cheek, pale eyering"
attributes,71,379,Rufous Hummingbird (Adult Male),"small slender body, straight bill, straight green tail, rufous plumage, bright orange back, bright orange belly, iridescent-red orange throat, green upperparts, rufous-washed flank, rufous patches, green spots"
attributes,72,380,Allen's Hummingbird (Adult Male),"small compact stocky body, long head, coppery orange green plumage, bronze-green upperparts, small patches"
attributes,73,381,Red-headed Woodpecker (Adult),"medium-sized large body, rounded bright-red gray-brown head, rounded tail, spike-like bill, white underparts, black back, large white gray-brown patches, black white wings, black spots"
attributes,74,382,Northern Flicker (Yellow-shafted),"large slim body, rounded head, downcurved bill, downcurved tail, brownish red brown richly patterned plumage, white rump, black spots, black bars"
attributes,75,392,Black Guillemot (Breeding),"medium-sized seabird heavy body, pointed white wings, small whitish head, short whitish neck, deep black plumage, large white patches, black border, whitish underparts"
attributes,76,393,Pigeon Guillemot (Breeding),"medium-sized seabird narrow body, small whitish head, medium-length sharply pointed bill, dark brown plumage, dark underwing upperwing feathers, white patches, white wings, whitish neck, whitish underparts"
attributes,77,394,Black-legged Kittiwake (Adult),"small plump belly, pale gray upperparts, neat black wingtips, clean white underparts, yellow black bill, white plumage, gray black collar, black tail"
attributes,78,395,Laughing Gull (Breeding),"medium-sized body, long wings, long legs, long reddish bill, medium gray upperparts, white underparts, crisp black hood, white head"
attributes,79,396,Heermann's Gull (Adult),"medium-sized body, long wings, rounded white head, long red pale bill, dark gray upperparts, gray underparts, black legs, black tip, dark sooty brown plumage"
attributes,80,397,Ring-billed Gull (Adult),"slim yellow gray pink bill, clean gray upperparts, white brown-streaked head, white body, white tail, black wingtips, white plumage, yellow gray pink legs, black bands"
attributes,81,398,Western Gull (Adult),"large heavy body, thick neck, large head, heavy yellow mottled sooty brown blackish bill, white black gray back, white-and-black upperwing black primary feathers, red mark tip, pale pink grayish-pink gray legs, pale pink brown blackish feet, dark brown northern plumage, dark gray pink eye, brownish wings"
attributes,82,399,California Gull (Adult),"medium-sized body, round head, medium gray back, yellow legs, dark eye, yellow bill, small black ring plumage, red spots, black tip"
attributes,83,400,Herring Gull (Adult),"large hefty body, hefty bill, light-gray mottled brown gray back, black wingtips, white head, white underparts"
attributes,84,401,Glaucous-winged Gull (Adult),"large heavyset body, flat head, long heavy bill, gray upperparts, white underparts, white spots, pale brown plumage"
attributes,85,402,Great Black-backed Gull (Adult),"broad wings, thick neck, thick yellow black bill, white slaty-black upperwing blackish flight feathers, white slaty-black back, dull pink legs, red spots, red eye, checkered gray-brown white upperparts, white-based black-tipped tail, cold-toned transition dark backed body"
attributes,86,446,Bonaparte's Gull,"small ternlike slim body, slender bill, pointed wings, black head, red legs, large white triangles wingtips, white plumage, grayish upperwing feathers, white primaries, gray spots, white cheek"
attributes,87,447,Mew Gull,"small short slender yellow bill, small white head, short neck, short blackish tail, moderately long yellow legs, medium gray upperparts, white underparts, black wingtips, white spots, dark eye, brownish plumage, gray back"
attributes,88,448,Caspian Tern,"large heavy body, large head, thick straight pointed bill, forked tail, long pointed wings, white plumage, pale gray upperwing feathers, black crown, grayish speckling, dusky tip"
attributes,89,449,Black Tern,"thin pointed bill, long pointed wings, forked tail, short legs, dark gray upperparts, black head, black whitish underparts, dusky crown, dusky side, dusky breast"
attributes,90,450,Common Tern,"pale gray plumage, black partial cap, orange black bill, orange black legs, white forehead, black bars"
attributes,91,451,Forster's Tern,"slender body, long tail, long wings, long pointed orange dark bill, short legs, gray upperparts, white underparts, black cap, black tip, wingtips silvery gray, ghostly pale plumage, white crown, thick blackish eye, white patches"
attributes,92,452,Royal Tern,"large slender body, long forked tail, short legs, gray underparts, white upperparts, black white crest, bright orange bill, white forehead, white rear"
attributes,93,453,Black Skimmer,"medium-sized tern-like seabird body, long pale-edged wings, long black red bill, black brownish upperparts, white underparts, orange-red legs"
attributes,94,454,Greater White-fronted Goose,"medium-sized heavy body, small pinkish-orange bill, thick orangish legs, short neck, brown plumage, thin white line"
attributes,95,455,Brant,"compact body, short black white neck, black head, black breast, brown wings, white undertail, pale flank, pale belly"
attributes,96,456,Cackling Goose,"compact body, small short black neck, rounded crown, long wings, short blackish legs, small blackish bill, small forehead, brown plumage, black head, white cheek, white throat, white undertail, blackish feet"
attributes,97,457,Canada Goose,"long black neck, large body, large feet, wide flat bill, black head, white cheek, tan breast, brown back"
attributes,98,458,Mute Swan,"large heavy body, short legs, long slender neck, large flat gray-black bill, white plumage"
attributes,99,459,Trumpeter Swan,"heavy body, long neck, large black bill, white gray-brown plumage, black legs"
attributes,100,460,Tundra Swan,"large heavy body, long neck, sloping bill, white plumage, yellow spots, gray-tinged wings"
attributes,101,461,American Black Duck,"rounded pale gray-brown head, thick yellow-green bill, bulky dark brown body"
attributes,102,462,Mottled Duck,"large body, brown rich buff greenish yellow orangeish plumage, yellow bill, black patches, buffy face, buffy throat, dark markings, white tail"
attributes,103,463,Common Eider (Female/juvenile),"large heavyset seabird body, white upperparts, black underparts, black cap, pale green nape, green yellow-orange black bill, chocolate brown plumage, white breast, white back"
attributes,104,464,Long-tailed Duck (Summer male),"small slender seabird dark brown body, rounded black dark head, small bill, long tail, white plumage, large dark patches, black dark neck, pink bands, white face"
attributes,105,465,Ruddy Duck (Winter male),"small compact rich chestnut body, scoop-shaped bright blue dull gray bill, thick neck, blackish cap, dull gray-brown upperparts, dull gray-brown underparts, brownish plumage, pale cheek"
attributes,106,466,Scaled Quail,"compact chicken-body, small head, short crest, plump body, short tail, short strong legs, buff plumage"
attributes,107,467,Northern Bobwhite,"small rounded body, small white head, rounded wings, short tail, intricately patterned brown rufous buff black bold plumage, buffy throat, buffy eyebrow"
attributes,108,468,Ruffed Grouse,"small body, short triangular crest, long fan-shaped tail, short legs, dark bars, dark spots, dark belly, black bands"
attributes,109,469,Wild Turkey,"large plump body, long legs, wide rounded tail, small head, slim neck, dark white rusty plumage"
attributes,110,470,Pied-billed Grebe,"small chunky swimming compact large body, slender neck, slender head, short thick bill, tawny-brown underparts"
attributes,111,471,Western Grebe,"large slender waterbird, long neck, large head, crisp black plumage, white underparts"
attributes,112,472,Clark's Grebe,"large waterbird, long slender neck, straight bill, small body, blackish upperparts, white underparts, black cap"
attributes,113,473,Wood Stork,"hefty wading football-shaped body, long legs, long neck, long thick bill, black flight feathers, black flight tail"
attributes,114,474,Brandt's Cormorant,"large heavy body, long buffy neck, long bill, medium-length tail, short legs, short feet, blackish uniformly black brownish plumage, blue eye, blue throat, buffy bands, buffy head, buffy shoulder"
attributes,115,475,Neotropic Cormorant,"slim waterbird, small long neck, long tail, straight bill, broad wings, broad feet, thin white line"
attributes,116,476,Pelagic Cormorant,"large seabird, long thin neck, long tail, narrow small head, short crests, blackish green purple gloss, small square white patches, small flank, uniformly dark brown plumage"
attributes,117,477,Anhinga,"large slender waterbirds, long-shaped pale tan neck, long-shaped bill, slim body, pale tan head, pale tan breast"
attributes,118,478,American White Pelican,"huge waterbird, broad wings, long neck, long bill, thick body, short legs, short square tail, snowy white plumage, black flight feathers, small patches"
attributes,119,479,Brown Pelican,"huge body, stocky seabirds, thin white neck, long bill, long throat, gray-brown yellow head, dark reddish-brown plumage, gray-brown upperparts, pale whitish belly, pale whitish breast"
attributes,120,480,Great Blue Heron,"long legs, long neck, long bill, wide black stripes"
attributes,121,481,Great Egret,"long legs, long-curved neck, long dagger-like bill, feathers great white"
attributes,122,482,Snowy Egret,"medium-sized long slender body, long thin black greenish legs, long thin white black bill, long thin neck, small head, yellow feet"
attributes,123,483,Tricolored Heron,"medium-sized slim body, long thin rusty neck, small head, blue-gray lavender white plumage, bright blue patches, pink yellowish legs, rusty edged feathers"
attributes,124,484,Cattle Egret,"compact body, short yellow dark legs, short thick neck, medium-length broad rounded wings, white plumage, yellow dark bill"
attributes,125,485,Green Heron,"green short stocky plumage, short legs, thick rich chestnut neck, broad rounded wings, broad rounded bill, short crest, light deep green back, rich chestnut breast"
attributes,126,486,Glossy Ibis,"medium-sized wading-bird compact body, long neck, long legs, long curved bill, bronze violet tones plumage"
attributes,127,487,White-faced Ibis,"medium-sized thick oval-shaped body, long pink legs, long strongly curved bill, long neck, glossy maroon metallic green absent matte brown plumage, red eye, narrow bands, white facial outline"
attributes,128,488,Roseate Spoonbill,"medium-sized waterbirds, football-shaped body, long legs, long bill, long white neck, pink shoulder, pink rump, yellowish green head, paler pink plumage"
attributes,129,489,Black Vulture,"large raptors, rounded body, narrow strongly hooked bill, white patches"
attributes,130,490,Turkey Vulture,"dark large long broad wings, red head, pale bill"
attributes,131,491,Osprey,"large distinctively shaped body, long narrow wings, long legs, brown upperparts, white underparts, prominent dark patches, broad brown stripes, white spots, white breast"
attributes,132,492,Swallow-tailed Kite,"large slender slim body, long narrow pointed gleaming black wings, forked gleaming black tail, bright-white head, gleaming black back"
attributes,133,493,White-tailed Kite,"small-to-medium pale raptor, narrow pointed wings, long white tail, white head, black shoulder, white patches, red eye, red body"
attributes,134,494,Mississippi Kite,"small slender raptor, long pointed wings, long square-tipped hooked tail, hooked bill, gray plumage, hooked secondaries, black wingtips"
attributes,135,495,Harris's Hawk,"large lanky raptors, long legs, long white tail, rounded white wings, dark brown plumage, white rump, white bands, white belly"
attributes,136,496,Swainson's Hawk (Light morph ),"broad longer-winged white wings, short tail, dark reddish-brown chest, brown gray upperparts, gray brown head, dark individuals also occur body, vary reddish nearly black plumage"
attributes,137,497,Red-tailed Hawk (Dark morph),"large body proportions, broad rounded streaked wings, short wide dark-morph chocolate-brown warm red tail, red-tailed rich brown cinnamon-red upperparts, pale underparts, streaked dark belly, dark bars, streaked shoulder, young brown plumage, rufous-morph reddish-brown chest"
attributes,138,498,Crested Caracara,"medium-sized body, bulky raptor, long black-and-white yellow-orange legs, flat head, shaggy crest, white yellow-orange bill, black cap, white neck, white cheek"
attributes,139,499,Merlin,"small powerful body build, sharply pointed wings, broad chest, broad dark tail, generally dark slaty gray plumage, narrow white bands, narrow white face, prominent malar, narrow white stripes"
attributes,140,500,Prairie Falcon,"pointed wings, medium-long tail, brown upperparts, brown breast, brown belly, pale stripes"
attributes,141,501,American Coot,"plump body, rounded head, sloping dark-gray black bright-white bill, tiny tail, short wings, large feet, black bright-white red forehead, small patches"
attributes,142,502,Sandhill Crane,"large bulky body, long slender neck, long legs, broad wings, short tail, pale gray rusty brown cheek, pale red crown"
attributes,143,503,Semipalmated Plover,"small compact body, round head, large black eye, short neck, medium-length legs, brown black upperparts, white underparts, one black white bands, white brown breast, black short orange bill, black collar, black face"
attributes,144,504,Killdeer,"large round head, large eye, short bill, slender lanky body, long pointed tail, long wings, brownish-tan upperparts, white underparts, white chest, two black bands, brown face, black-and-white patches, bright orange-buff rump"
attributes,145,505,American Oystercatcher,"large thickset body, large black head, large neck, long thick legs, black plumage, bright orange-red bill, black breast, white underparts, yellow eye, red eyering"
attributes,146,506,Black Oystercatcher,"large heavyset thick body, long thick straight orange-red bill, yellow eye, red brownish plumage"
attributes,147,507,Black-necked Stilt,"small body, long pink legs, long neck, small head, thin straight bill, black upperparts, white underparts, white eye, brownish-black plumage"
attributes,148,508,American Avocet,"large slender white body, long upturned bill, long rusty neck, round rusty head, long legs, black patches, black-and-white wings"
attributes,149,509,Solitary Sandpiper,"small slender body, long neck, long bill, long wings, long legs, dark olive-brown upperparts, white eyering, pale underparts, white brown plumage, dark underwing feathers, white belly"
attributes,150,510,Greater Yellowlegs,"large lanky body, long legs, long dark finely streaked neck, thick-based upturned bill, dark bands, finely streaked head, bright white eyering, occasionally orange plumage"
attributes,151,511,Willet,"large stocky body, long legs, thick straight bill, gray-brown willets mottled gray plumage"
attributes,152,512,Lesser Yellowlegs,"slender medium-sized body, long yellow legs, long neck, yellowlegs grayish-brown subdued gray-brown plumage, white eyering, white spots, white back, white wings"
attributes,153,513,Whimbrel,"large long curved bill, long neck, long legs, pointed tail, brownish upperparts, pale feather edges, tan underparts, neat dark stippling, most narrow dark eyeline body"
attributes,154,514,Long-billed Curlew,"large long legs, long thin curved bill, heavy football-shaped body, long neck, small round head, pale cinnamon wash throughout, plain cinnamon belly"
attributes,155,515,Marbled Godwit,"large long legs, upturned bill, small round head, thin neck, barred upperparts, barred underparts, black tip"
attributes,156,516,Ruddy Turnstone,"short stocky body, upturned bill, unique black plumage, brown ghosting pattern, orange legs"
attributes,157,517,Black Turnstone,"small stout short upturned bill, short neck, short legs, white belly, bold black plumage, white pattern, white spots, white breast, two white stripes, white back, white tail"
attributes,158,518,Surfbird,"short thick bill, short neck, short tail, short thick legs, light stippled muddy brownish-gray plumage, dark rufous upperparts, black streaks, whitish chin, white belly, bold black tip"
attributes,159,519,Semipalmated Sandpiper,"small plump body, dappled brown plumage, black gold rufous grayish-brown upperparts, pale underparts, dark legs, brown flank"
attributes,160,520,Western Sandpiper,"small portly body, long thin dark bill, long pointed wings, short tail, medium-length dark legs, black brown rufous plumage, gold pale gray upperparts, white whitish underparts, extensive dark arrow-shaped streaks, rufous crown, rufous patches"
attributes,161,521,Least Sandpiper,"tiny round body, pointed wings, thin-tipped decurved bill, medium-length legs, brown upperparts, white underparts"
attributes,162,522,Short-billed Dowitcher,"chunky medium-sized body, long straight bill, moderately long legs, brown black gold grayish-brown orange upperparts, black gold pale underparts, plain plumage, pale orange breast, pale side, dark feathers"
attributes,163,523,Wilson's Snipe,"medium-sized long body, short stocky legs, intricately patterned buff black plumage, brown prominent buffy whitish stripes, brown bars, dark head, dark back, buff chest, brown side"
attributes,164,524,American Woodcock,"plump body, short legs, long straight bill, large head, short neck, short tail, well camouflaged light brown plumage, brown wings"
attributes,165,525,Rock Pigeon,"broad pointed wings, broad pointed two black tail, rounded body, most bluish gray plumage, two black bands, iridescent throat, two bars, dark spots"
attributes,166,526,Band-tailed Pigeon,"large stocky body, small head, long rounded tail, thick-based pointed wings, blue-gray upperparts, purplish-gray underparts, blue-gray back, blue-gray neck, pale gray bands, dark wingtips noticeable"
attributes,167,527,Eurasian Collared-Dove,"plump rounded body, small head, long broad tail, chalky light brown gray-buff plumage, broad white patches"
attributes,168,528,White-winged Dove,"plump body, thin bill, small head, brown plumage, dark line, white black stripes, dark wings, red eye"
attributes,169,529,Mourning Dove,"plump body, long pointed tail, short legs, small bill, small head, black spots, black tail feathers"
attributes,170,530,Inca Dove,"small slender body, long square-tipped tail, small head, short legs"
attributes,171,531,Common Ground-Dove,"ground tiny stocky body, short round wings, short tail, short thin pinkish-red bill, short legs, large dark spots, bluish crown, dark tip"
attributes,172,532,Monk Parakeet,"small parakeet, long pointed tail, pointed wings, large head, large hooked bill, green gray face, green gray breast"
attributes,173,533,Yellow-billed Cuckoo,"large long slim thin body, long flat head, long tail, warm brown upperparts, clean whitish underparts, yellow eyering, wide white bands, narrower black ones plumage"
attributes,174,534,Black-billed Cuckoo,"slender body, curved black bill, long tail, plain brown upperparts, white underparts, red eye ring"
attributes,175,535,Greater Roadrunner,"large shape, long legs, long straight tail, long neck, short crest, short bill, small pale spots, small pale patches, small pale eye, white highlights"
attributes,176,536,Barn Owl,"medium-sized white body, rounded wings, short tail, pale plumage, dark eye, buff gray head, buff gray back, buff-gray upperwing feathers, white face, white underwings"
attributes,177,537,Western Screech-Owl,"small stocky body, square head, square neck, square ear tufts, white breast, white belly, dark spidery streaks, dark arcs plumage"
attributes,178,538,Eastern Screech-Owl,"short stocky body, large pointed ear head, large neck, pointed ear tufts"
attributes,179,539,Great Horned Owl,"large thick rounded body, large thick tuft, large thick head, mottled gray-brown reddish-brown face, white patches, reddish-brown throat"
attributes,180,540,Snowy Owl,large rounded head
attributes,181,541,Northern Pygmy-Owl,"small compact rounded body, white spots, two dark patches"
attributes,182,542,Burrowing Owl,"small long legs, short tail, brown sandy-pale spots, dark brown bars, bold white throat, bold white eyebrow, yellow eye, brown mottled plumage"
attributes,183,543,Barred Owl,"large stocky medium-length body, rounded head, rounded ear tufts, rounded tail, mottled brown white plumage, dark brown black eye, brown bars"
attributes,184,544,Northern Saw-whet Owl,"small large rounded white-spotted head, mottled brown whitish facial disk, dark brown creamy yellow breast, creamy yellow belly"
attributes,185,545,Common Nighthawk,"medium-sized slender body, long pointed dark wings, medium-long tail, large eye, short neck, large head, well camouflaged gray white buff black plumage"
